ID,敏感函数,漏洞描述,文件路径,漏洞代码行,漏洞详情
1,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第89行,"        $cert = file_get_contents($certPath);
"
2,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第89行,"        $cert = file_get_contents($certPath);
"
3,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第89行,"        $cert = file_get_contents($certPath);
"
4,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第273行,"            $pubKey = file_get_contents($rsaPublicKeyFilePath);
"
5,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第306行,"            $priKey = file_get_contents($this->rsaPrivateKeyFilePath);
"
6,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第603行,"            $respObject = @ simplexml_load_string($resp);
"
7,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第632行,"                $respObject = @ simplexml_load_string($r);
"
8,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第306行,"            $priKey = file_get_contents($this->rsaPrivateKeyFilePath);
"
9,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第748行,"            $priKey = file_get_contents($privatekey);
"
10,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopCertClient.php,第273行,"            $pubKey = file_get_contents($rsaPublicKeyFilePath);
"
11,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第136行,"            $priKey = file_get_contents($this->rsaPrivateKeyFilePath);
"
